"Industry","Ticker","Exchange","Stock Name","URL","Link"
"basicmaterials","DK","nyse","Delek US Holdings Inc","https://www.etoro.com/markets/DK","Link"
"basicmaterials","DLN.L","london","Derwent London PLC","https://www.etoro.com/markets/DLN.L","Link"
"basicmaterials","DNMR","nyse","Danimer Scientific Inc.","https://www.etoro.com/markets/DNMR","Link"
"basicmaterials","DNO.OL","oslo","DNO ASA","https://www.etoro.com/markets/DNO.OL","Link"
"basicmaterials","DNOW","nyse","NOW Inc","https://www.etoro.com/markets/DNOW","Link"
"basicmaterials","DOW","nyse","Dow Inc.","https://www.etoro.com/markets/DOW","Link"
"basicmaterials","DQ","nyse","Daqo New Energy Corp","https://www.etoro.com/markets/DQ","Link"
"basicmaterials","DRX.L","london","Drax Group PLC","https://www.etoro.com/markets/DRX.L","Link"
"basicmaterials","DSM.NV","amsterdam","Koninklijke DSM NV","https://www.etoro.com/markets/DSM.NV","Link"
"basicmaterials","DVN","nyse","Devon Energy Corp","https://www.etoro.com/markets/DVN","Link"
"basicmaterials","E","nyse","Eni SpA","https://www.etoro.com/markets/E","Link"
"basicmaterials","EE","nyse","Excelerate Energy Inc.","https://www.etoro.com/markets/EE","Link"
"basicmaterials","EGO","nyse","Eldorado Gold Corp","https://www.etoro.com/markets/EGO","Link"
"basicmaterials","EMN","nyse","Eastman Chemical Co","https://www.etoro.com/markets/EMN","Link"
"basicmaterials","EMSN.ZU","zurich","Ems-Chemie Holding AG","https://www.etoro.com/markets/EMSN.ZU","Link"
"basicmaterials","ENB","nyse","Enbridge Inc","https://www.etoro.com/markets/ENB","Link"
"basicmaterials","ENC.MC","bolsademadrid","Ence Energia Y Celulosa SA","https://www.etoro.com/markets/ENC.MC","Link"
"basicmaterials","ENI.MI","borsaitaliana","Eni Energy Company","https://www.etoro.com/markets/ENI.MI","Link"
"basicmaterials","EOG","nyse","EOG Resources Inc","https://www.etoro.com/markets/EOG","Link"
"basicmaterials","EPD","nyse","Enterprise Products Partners LP","https://www.etoro.com/markets/EPD","Link"
"basicmaterials","ESI","nyse","Element Solutions Inc","https://www.etoro.com/markets/ESI","Link"
"basicmaterials","ET","nyse","Energy Transfer LP","https://www.etoro.com/markets/ET","Link"
"basicmaterials","EVK.DE","frankfurt","Evonik","https://www.etoro.com/markets/EVK.DE","Link"
"basicmaterials","EXK","nyse","Endeavour Silver Corp","https://www.etoro.com/markets/EXK","Link"
"basicmaterials","FANG","nasdaq","Diamondback Energy Inc","https://www.etoro.com/markets/FANG","Link"
"basicmaterials","FCX","nyse","Freeport-McMoRan Inc","https://www.etoro.com/markets/FCX","Link"
"basicmaterials","FMC","nyse","FMC Corp","https://www.etoro.com/markets/FMC","Link"
"basicmaterials","FNV","nyse","Franco-Nevada Corp","https://www.etoro.com/markets/FNV","Link"
"basicmaterials","FRES.L","london","Fresnillo","https://www.etoro.com/markets/FRES.L","Link"
"basicmaterials","FSM","nyse","Fortuna Silver Mines Inc","https://www.etoro.com/markets/FSM","Link"
"basicmaterials","FTI","nyse","TechnipFMC Plc","https://www.etoro.com/markets/FTI","Link"
"basicmaterials","FUL","nyse","H.B. Fuller Company","https://www.etoro.com/markets/FUL","Link"
"basicmaterials","GFI","nyse","Gold Fields Ltd","https://www.etoro.com/markets/GFI","Link"
"basicmaterials","GGB","nyse","Gerdau SA","https://www.etoro.com/markets/GGB","Link"
"basicmaterials","GIVN.ZU","zurich","Givaudan S.A","https://www.etoro.com/markets/GIVN.ZU","Link"
"basicmaterials","GLEN.L","london","Glencore Plc","https://www.etoro.com/markets/GLEN.L","Link"
"basicmaterials","GOLD.BARRICK","nyse","Barrick Gold","https://www.etoro.com/markets/GOLD.BARRICK","Link"
"basicmaterials","GXI.DE","frankfurt","Gerresheimer","https://www.etoro.com/markets/GXI.DE","Link"
"basicmaterials","HAL","nyse","Halliburton Co","https://www.etoro.com/markets/HAL","Link"
"basicmaterials","HES","nyse","Hess Corp","https://www.etoro.com/markets/HES","Link"
"basicmaterials","HL","nyse","Hecla Mining Company","https://www.etoro.com/markets/HL","Link"
"basicmaterials","HMY","nyse","Harmony Gold Mining Co Ltd","https://www.etoro.com/markets/HMY","Link"
"basicmaterials","HOLN.ZU","zurich","Holcim Ltd","https://www.etoro.com/markets/HOLN.ZU","Link"
"basicmaterials","HUN","nyse","Huntsman Corp","https://www.etoro.com/markets/HUN","Link"
"basicmaterials","HVPE.L","london","HarbourVest Global Private Equity Ltd","https://www.etoro.com/markets/HVPE.L","Link"
"basicmaterials","ICL","nyse","ICL Group Ltd","https://www.etoro.com/markets/ICL","Link"
"basicmaterials","IFF","nyse","International Flavors & Fragra","https://www.etoro.com/markets/IFF","Link"
"basicmaterials","IGG.L","london","IG Group Holdings PLC","https://www.etoro.com/markets/IGG.L","Link"
"basicmaterials","IMCD.NV","amsterdam","IMCD NV","https://www.etoro.com/markets/IMCD.NV","Link"
"basicmaterials","INT","nyse","World Fuel Services Corp","https://www.etoro.com/markets/INT","Link"
"basicmaterials","IP","nyse","International Paper Co","https://www.etoro.com/markets/IP","Link"
"basicmaterials","JKS","nyse","JinkoSolar Holding Co Ltd","https://www.etoro.com/markets/JKS","Link"
"basicmaterials","JMAT.L","london","Johnson Matthey","https://www.etoro.com/markets/JMAT.L","Link"
"basicmaterials","KGC","nyse","Kinross Gold Corp","https://www.etoro.com/markets/KGC","Link"
"basicmaterials","KMI","nyse","Kinder Morgan Inc","https://www.etoro.com/markets/KMI","Link"
"basicmaterials","KRO","nyse","Kronos Worldwide Inc","https://www.etoro.com/markets/KRO","Link"
"basicmaterials","LAC","nyse","Lithium Americas Corp","https://www.etoro.com/markets/LAC","Link"
"basicmaterials","LIN","nyse","Linde PLC","https://www.etoro.com/markets/LIN","Link"
"basicmaterials","LKOD.L","london","Lukoil OAO","https://www.etoro.com/markets/LKOD.L","Link"
"basicmaterials","LMP.L","london","LondonMetric Property PLC","https://www.etoro.com/markets/LMP.L","Link"
"basicmaterials","LNG","nyse","Cheniere Energy Inc","https://www.etoro.com/markets/LNG","Link"
"basicmaterials","LTHM","nyse","Livent Corp","https://www.etoro.com/markets/LTHM","Link"
"basicmaterials","LUNE.ST","stockholm","Lundin Energy AB","https://www.etoro.com/markets/LUNE.ST","Link"
"basicmaterials","LXS.DE","frankfurt","LANXESS","https://www.etoro.com/markets/LXS.DE","Link"
"basicmaterials","LYB","nyse","LyondellBasell Industries NV","https://www.etoro.com/markets/LYB","Link"
"basicmaterials","MAG","nyse","MAG Silver Corp","https://www.etoro.com/markets/MAG","Link"
"basicmaterials","MNODL.L","london","MMC Norilsk Nickel OJSC","https://www.etoro.com/markets/MNODL.L","Link"
"basicmaterials","MOS","nyse","Mosaic Co","https://www.etoro.com/markets/MOS","Link"
"basicmaterials","MP","nyse","MP Materials Corp.","https://www.etoro.com/markets/MP","Link"
"basicmaterials","MRO","nyse","Marathon Oil Corp","https://www.etoro.com/markets/MRO","Link"
"basicmaterials","MT.US","nyse","ArcelorMittal ADR","https://www.etoro.com/markets/MT.US","Link"
"basicmaterials","MTS.MC","bolsademadrid","ArcelorMittal","https://www.etoro.com/markets/MTS.MC","Link"
"basicmaterials","MUR","nyse","Murphy Oil Corp","https://www.etoro.com/markets/MUR","Link"
"basicmaterials","NCMGF","nasdaq","Newcrest Mining LTD","https://www.etoro.com/markets/NCMGF","Link"
"basicmaterials","NDA.DE","frankfurt","Aurubis AG","https://www.etoro.com/markets/NDA.DE","Link"
"basicmaterials","NDX1.DE","frankfurt","Nordex","https://www.etoro.com/markets/NDX1.DE","Link"
"basicmaterials","NEM","nyse","Newmont Mining Corp","https://www.etoro.com/markets/NEM","Link"
"basicmaterials","NESTE.HE","helsinki","Neste Oyj","https://www.etoro.com/markets/NESTE.HE","Link"
"basicmaterials","NFE","nasdaq","New Fortress Energy Inc.","https://www.etoro.com/markets/NFE","Link"
"basicmaterials","NOV","nyse","NOV Inc","https://www.etoro.com/markets/NOV","Link"
"basicmaterials","NUE","nyse","Nucor Corp","https://www.etoro.com/markets/NUE","Link"
